id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,26011.0,506104319424,1,546005995576.0,14743397684.0,26155.0,25575.0,-13.643032332882285,-0.05242,-784891265.6782227,-0.15484,19465337.0,21000000.0,21000000.0,69045.0,-62.31022,2021-11-10T14:24:11.849Z,67.81,38276.64964,2013-07-06T00:00:00.000Z,,2023-08-23T03:38:42.722Z
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1632.77,196246298592,2,196246298592.0,10063797853.0,1666.86,1597.41,-29.568266149449528,-1.77871,-3796992795.244446,-1.89809,120214313.222187,120214313.222187,,4878.26,-66.50265,2021-11-10T14:24:19.604Z,0.432979,377305.94669,2015-10-20T00:00:00.000Z,"{'times': 82.94548390418198, 'currency': 'btc', 'percentage': 8294.548390418198}",2023-08-23T03:38:36.724Z
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,0.999323,82811304725,3,82811304725.0,14579355185.0,1.004,0.996619,-0.000167778279027253,-0.01679,-22391783.16194153,-0.02703,82853331627.822,82853331627.822,,1.32,-24.46472,2018-07-24T00:00:00.000Z,0.572521,74.56193,2015-03-02T00:00:00.000Z,,2023-08-23T03:35:02.596Z
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,212.75,32766584431,4,42593792228.0,820849807.0,214.43,204.21,2.91,1.38891,472135504.0,1.46197,153856150.0,153856150.0,200000000.0,686.31,-68.92632,2021-05-10T07:24:17.097Z,0.0398177,535492.71431,2017-10-19T00:00:00.000Z,,2023-08-23T03:38:35.065Z
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.520072,27501198587,5,52044334153.0,1136012950.0,0.522798,0.50713,-0.000442116465386611,-0.08494,-61863651.43098068,-0.22444,52841868447.0,99988501123.0,100000000000.0,3.4,-84.66936,2018-01-07T00:00:00.000Z,0.00268621,19295.52983,2014-05-22T00:00:00.000Z,,2023-08-23T03:38:41.038Z
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.999742,25919893573,6,25924904966.0,4818378638.0,1.005,0.997146,-0.000157968025281674,-0.0158,-56736842.77722168,-0.21841,25930730361.4821,25935743849.969,,1.17,-14.75701,2019-05-08T00:40:28.300Z,0.877647,13.90117,2023-03-11T08:02:13.981Z,,2023-08-23T03:38:44.148Z
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1631.29,13578523458,7,13578523458.0,52780236.0,1667.91,1601.73,-32.359734558273885,-1.94511,-206677022.53742027,-1.49927,8328983.82438051,8328983.82438051,8328983.82438051,4829.57,-66.18966,2021-11-10T14:40:47.256Z,482.9,238.146,2020-12-22T04:08:21.854Z,,2023-08-23T03:38:44.397Z
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.258709,9066182280,8,11641545444.0,200625216.0,0.261727,0.250525,-0.002485760109215696,-0.95169,-106019566.74659348,-1.15588,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.61508,2021-09-02T06:00:10.474Z,0.01925275,1244.40593,2020-03-13T02:22:55.044Z,,2023-08-23T03:38:37.554Z
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.062733,8833391660,9,8833386637.0,318849902.0,0.063199,0.0605,0.00022378,0.358,30799565.0,0.34989,140702236383.705,140702156383.705,,0.731578,-91.40923,2021-05-08T05:08:23.458Z,8.69e-05,72219.30702,2015-05-06T00:00:00.000Z,,2023-08-23T03:38:36.523Z
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,20.64,8410138907,10,11459874315.0,442733257.0,21.19,19.66,-0.41434424726081076,-1.96777,-193728458.93599796,-2.25164,407773135.571352,555642294.90205,,259.96,-92.05055,2021-11-06T21:54:35.825Z,0.500801,4026.45307,2020-05-11T19:35:23.449Z,,2023-08-23T03:38:35.665Z
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.076091,6795545741,11,6795549271.0,195114119.0,0.076143,0.074463,0.00116918,1.56054,95301664.0,1.42236,89401256807.612,89401303247.1833,,0.231673,-67.18055,2018-01-05T00:00:00.000Z,0.00180434,4113.93179,2017-11-12T00:00:00.000Z,"{'times': 39.04765062205803, 'currency': 'usd', 'percentage': 3904.7650622058027}",2023-08-23T03:38:42.383Z
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,4.4,5576454379,12,5932740628.0,119750458.0,4.44,4.24,-0.018760643389307496,-0.42426,-29938019.83123684,-0.534,1266984475.78806,1347933608.70282,,54.98,-91.9865,2021-11-04T14:10:09.301Z,2.7,63.33529,2020-08-20T05:48:11.359Z,,2023-08-23T03:38:38.701Z
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,0.548369,5100290243,13,5472726188.0,329158623.0,0.552869,0.529131,-0.003375525550833314,-0.61179,-58826574.89234066,-1.14025,9319469069.28493,10000000000.0,10000000000.0,2.92,-81.22597,2021-12-27T02:08:34.307Z,0.00314376,17315.45716,2019-05-10T00:00:00.000Z,"{'times': 207.50541467998977, 'currency': 'usd', 'percentage': 20750.541467998977}",2023-08-23T03:38:34.759Z
the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1670498136,1.4,4808478255,14,7120148437.0,26015849.0,1.41,1.34,0.04973798,3.6874,170215702.0,3.66982,3439076840.76433,5092408927.53341,,5.29,-73.57251,2021-11-12T06:50:02.476Z,0.519364,169.21869,2021-09-21T00:33:11.092Z,,2023-08-23T03:38:37.581Z
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,8.14e-06,4796410559,15,8138594289.0,178512225.0,8.17e-06,7.71e-06,2.46394e-07,3.1206,136413797.0,2.92734,589332624479530.2,999985108198272.0,,8.616e-05,-90.52606,2021-10-28T03:54:55.568Z,5.6366e-11,14481287.3964,2020-11-28T11:26:25.838Z,,2023-08-23T03:38:37.801Z
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,64.81,4768841160,16,5444828664.0,531792746.0,66.54,63.01,-1.6923838825629645,-2.54498,-129710175.26567745,-2.64793,73571214.4834713,84000000.0,84000000.0,410.26,-84.18299,2021-05-10T03:13:07.904Z,1.15,5548.36562,2015-01-14T00:00:00.000Z,,2023-08-23T03:38:38.195Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,25991.0,4220151262,17,4220151262.0,98291627.0,26150.0,25602.0,-82.73051623605716,-0.31729,-9860235.492134094,-0.2331,162305.25767567,162305.25767567,162305.25767567,70643.0,-63.16667,2021-11-10T14:40:19.650Z,3139.17,728.89071,2019-04-02T00:00:00.000Z,,2023-08-23T03:38:38.407Z
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1687143508,1.0,3962524920,18,3962524920.0,151497642.0,1.003,0.997774,0.00061292,0.06132,4759892.0,0.12027,3963037941.20088,3963037941.20088,,1.22,-17.92507,2020-03-13T03:02:50.373Z,0.88196,13.43333,2023-03-11T07:50:50.514Z,,2023-08-23T03:35:02.469Z
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,187.08,3645900669,19,3929639363.0,136288804.0,187.85,180.73,2.4,1.30139,42264373.0,1.17283,19483699.8966508,21000000.0,21000000.0,3785.82,-95.05075,2017-12-20T00:00:00.000Z,76.93,143.54341,2018-12-16T00:00:00.000Z,,2023-08-23T03:38:42.865Z
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.85,3579904808,20,3794456992.0,179738.0,3.85,3.73,0.03340428,0.87477,64442222.0,1.83311,929530534.9,985239504.0,,8.14,-52.6617,2022-02-08T17:40:10.285Z,0.799859,381.47642,2019-12-24T15:14:35.376Z,,2023-08-23T03:38:39.598Z
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1687143398,4.68,3524680410,21,4676089518.0,128468775.0,4.76,4.51,-0.049326533714370235,-1.04387,-41609936.98604393,-1.16676,753766667.0,1000000000.0,1000000000.0,44.92,-89.58702,2021-05-03T05:25:04.822Z,1.03,354.03244,2020-09-17T01:20:38.214Z,,2023-08-23T03:38:38.181Z
avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1670992574,10.11,3476328725,22,7274424807.0,138862371.0,10.32,9.77,-0.17786059756003958,-1.72915,-71822173.76794004,-2.02421,344076232.609468,430795682.609468,720000000.0,144.96,-93.02982,2021-11-21T14:18:56.538Z,2.8,260.72226,2020-12-31T13:15:21.540Z,,2023-08-23T03:38:35.024Z
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.12056,3305339983,23,6033920435.0,88844753.0,0.124315,0.11761,-0.003436318611749437,-2.77131,-99002222.49246883,-2.90812,27390634059.812,50001787237.4735,50001787237.4735,0.875563,-86.19084,2018-01-03T00:00:00.000Z,0.00047612,25294.23251,2015-03-05T00:00:00.000Z,,2023-08-23T03:38:41.818Z
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,6.13,3297992057,24,6128957876.0,219592824.0,6.24,5.91,-0.015276656793174585,-0.24867,-14021584.94663477,-0.42336,538099971.2305644,1000000000.0,1000000000.0,52.7,-88.35143,2021-05-10T00:13:57.214Z,0.148183,4042.44084,2017-11-29T00:00:00.000Z,,2023-08-23T03:38:37.522Z
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,0.999425,3193828453,25,3193828453.0,2490515554.0,1.011,0.994631,-0.000447597909397968,-0.04477,-21455334.807120323,-0.66729,3196632567.97,3196632567.97,,1.15,-13.34793,2020-03-13T02:35:42.953Z,0.901127,10.98785,2021-05-19T13:04:37.445Z,,2023-08-23T03:38:35.699Z
true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,0.999412,2748156211,26,2748156211.0,2294326157.0,1.004,0.986871,6.164e-05,0.00617,-4711955.925524235,-0.17117,2754461423.8,2754461423.8,,1.62,-38.30526,2018-08-26T20:41:09.375Z,0.88355,13.01424,2020-03-12T10:47:51.380Z,,2023-08-23T03:38:39.939Z
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,145.3,2638420983,27,,64150771.0,149.64,143.56,-4.001094737073629,-2.67994,-71149150.81197214,-2.62585,18147820.3764146,,,542.33,-73.18417,2018-01-09T00:00:00.000Z,0.216177,67173.25695,2015-01-14T00:00:00.000Z,,2023-08-23T03:38:43.797Z
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1642471050,43.22,2593536374,28,12967681871.0,2361724.0,43.31,42.1,0.092301,0.21401,-831609.7038755417,-0.03205,60000000.0,235957685.3,300000000.0,58.66,-26.17215,2023-02-18T01:21:37.582Z,0.580608,7358.80308,2019-01-14T00:00:00.000Z,,2023-08-23T03:38:38.636Z
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,15.6,2226753763,29,3289045000.0,76086896.0,15.79,15.09,-0.12053474216641114,-0.76651,-19543983.399178505,-0.87005,142648403.375261,210700000.0,210700000.0,167.09,-90.63855,2021-05-06T18:34:22.133Z,0.615038,2443.19533,2016-07-25T00:00:00.000Z,"{'times': 33.67677946354982, 'currency': 'usd', 'percentage': 3367.6779463549824}",2023-08-23T03:38:37.499Z
cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,7.36,2154986689,30,,124064002.0,7.49,7.14,-0.09865247456327264,-1.32202,-31771188.81471491,-1.45289,292586163.827428,,,44.45,-83.40389,2022-01-17T00:34:41.497Z,1.16,535.88525,2020-03-13T02:27:44.591Z,"{'times': 72.63627341707458, 'currency': 'usd', 'percentage': 7263.627341707458}",2023-08-23T03:38:37.670Z
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.059025,1953857959,31,2952942522.0,80266020.0,0.063578,0.057612,-0.002853361436864897,-4.61124,-81982059.34946012,-4.02694,33083237217.6115,50000000000.0,50000000000.0,0.569229,-89.57775,2021-09-15T10:40:28.318Z,0.00986111,501.62029,2020-01-02T17:30:24.852Z,,2023-08-23T03:38:36.102Z
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,3.44,1513259401,32,1607592569.0,24442472.0,3.52,3.3,-0.06740893153548466,-1.92456,-34985912.92311525,-2.25971,441680355.730472,503978463.600546,469213710.0,700.65,-99.51048,2021-05-10T16:05:53.653Z,3.3,3.79979,2023-08-22T20:06:17.794Z,,2023-08-23T03:38:38.769Z
